"group_name" "seqnames" "exonic.gene.sizes"
"Tps_000048" "Tps_LRv5b_scf1" 366
"Tps_000049" "Tps_LRv5b_scf1" 636
"Tps_000050" "Tps_LRv5b_scf1" 228
"Tps_000051" "Tps_LRv5b_scf1" 4176
"Tps_000052" "Tps_LRv5b_scf1" 2473
"Tps_000053" "Tps_LRv5b_scf1" 2079
"Tps_000054" "Tps_LRv5b_scf1" 3309
"Tps_000055" "Tps_LRv5b_scf1" 405
"Tps_000056" "Tps_LRv5b_scf1" 1152
"Tps_000057" "Tps_LRv5b_scf1" 495
"Tps_000058" "Tps_LRv5b_scf1" 330
"Tps_000059" "Tps_LRv5b_scf1" 255
"Tps_000060" "Tps_LRv5b_scf1" 420
"Tps_000061" "Tps_LRv5b_scf1" 903
"Tps_000062" "Tps_LRv5b_scf1" 489
"Tps_000063" "Tps_LRv5b_scf1" 828
"Tps_000064" "Tps_LRv5b_scf1" 276
"Tps_000065" "Tps_LRv5b_scf1" 1758
"Tps_000066" "Tps_LRv5b_scf1" 345
"Tps_000067" "Tps_LRv5b_scf1" 720
"Tps_000068" "Tps_LRv5b_scf1" 1005
"Tps_000069" "Tps_LRv5b_scf1" 1602
"Tps_000070" "Tps_LRv5b_scf1" 693
"Tps_000071" "Tps_LRv5b_scf1" 2898
"Tps_000072" "Tps_LRv5b_scf1" 2235
"Tps_000073" "Tps_LRv5b_scf1" 963
"Tps_000074" "Tps_LRv5b_scf1" 801
"Tps_000075" "Tps_LRv5b_scf1" 201
"Tps_000076" "Tps_LRv5b_scf1" 231
"Tps_000077" "Tps_LRv5b_scf1" 555
"Tps_000078" "Tps_LRv5b_scf1" 4257
"Tps_000079" "Tps_LRv5b_scf1" 363
"Tps_000080" "Tps_LRv5b_scf1" 411
"Tps_000081" "Tps_LRv5b_scf1" 363
"Tps_000082" "Tps_LRv5b_scf1" 339
"Tps_000083" "Tps_LRv5b_scf1" 480
"Tps_000084" "Tps_LRv5b_scf1" 489
"Tps_000085" "Tps_LRv5b_scf1" 273
"Tps_000086" "Tps_LRv5b_scf1" 939
"Tps_000087" "Tps_LRv5b_scf1" 468
"Tps_000088" "Tps_LRv5b_scf1" 291
"Tps_000089" "Tps_LRv5b_scf1" 1677
"Tps_000090" "Tps_LRv5b_scf1" 366
"Tps_000091" "Tps_LRv5b_scf1" 441
"Tps_000092" "Tps_LRv5b_scf1" 495
"Tps_000093" "Tps_LRv5b_scf1" 546
"Tps_000094" "Tps_LRv5b_scf1" 651
"Tps_000095" "Tps_LRv5b_scf1" 246
"Tps_000096" "Tps_LRv5b_scf1" 222
"Tps_000097" "Tps_LRv5b_scf1" 246
"Tps_000098" "Tps_LRv5b_scf1" 447
"Tps_000099" "Tps_LRv5b_scf1" 525
"Tps_000100" "Tps_LRv5b_scf1" 237
"Tps_000101" "Tps_LRv5b_scf1" 267
"Tps_000102" "Tps_LRv5b_scf1" 324
"Tps_000103" "Tps_LRv5b_scf1" 213
"Tps_000104" "Tps_LRv5b_scf1" 624
"Tps_000105" "Tps_LRv5b_scf1" 279
"Tps_000106" "Tps_LRv5b_scf1" 357
"Tps_000107" "Tps_LRv5b_scf1" 204
"Tps_000108" "Tps_LRv5b_scf1" 366
"Tps_000109" "Tps_LRv5b_scf1" 207
"Tps_000110" "Tps_LRv5b_scf1" 276
"Tps_000111" "Tps_LRv5b_scf1" 303
"Tps_000112" "Tps_LRv5b_scf1" 447
"Tps_000113" "Tps_LRv5b_scf1" 474
"Tps_000114" "Tps_LRv5b_scf1" 222
"Tps_000115" "Tps_LRv5b_scf1" 412
"Tps_000116" "Tps_LRv5b_scf1" 243
"Tps_000117" "Tps_LRv5b_scf1" 411
"Tps_000118" "Tps_LRv5b_scf1" 414
"Tps_000119" "Tps_LRv5b_scf1" 387
"Tps_000120" "Tps_LRv5b_scf1" 201
"Tps_000121" "Tps_LRv5b_scf1" 285
"Tps_000122" "Tps_LRv5b_scf1" 570
"Tps_000123" "Tps_LRv5b_scf1" 927
"Tps_000124" "Tps_LRv5b_scf1" 363
"Tps_000125" "Tps_LRv5b_scf1" 2274
"Tps_000126" "Tps_LRv5b_scf1" 486
"Tps_000127" "Tps_LRv5b_scf1" 318
"Tps_000128" "Tps_LRv5b_scf1" 429
"Tps_000129" "Tps_LRv5b_scf1" 234
"Tps_000130" "Tps_LRv5b_scf1" 1539
"Tps_000131" "Tps_LRv5b_scf1" 369
"Tps_000132" "Tps_LRv5b_scf1" 1476
"Tps_000133" "Tps_LRv5b_scf1" 732
"Tps_000134" "Tps_LRv5b_scf1" 1029
"Tps_000135" "Tps_LRv5b_scf1" 693
"Tps_000136" "Tps_LRv5b_scf1" 432
"Tps_000137" "Tps_LRv5b_scf1" 612
"Tps_000138" "Tps_LRv5b_scf1" 393
"Tps_000139" "Tps_LRv5b_scf1" 1620
"Tps_000140" "Tps_LRv5b_scf1" 839
"Tps_000141" "Tps_LRv5b_scf1" 1056
"Tps_000142" "Tps_LRv5b_scf1" 5091
"Tps_000143" "Tps_LRv5b_scf1" 693
"Tps_000144" "Tps_LRv5b_scf1" 1266
"Tps_000145" "Tps_LRv5b_scf1" 1740
"Tps_000146" "Tps_LRv5b_scf1" 4098
"Tps_000148" "Tps_LRv5b_scf1" 606
"Tps_000149" "Tps_LRv5b_scf1" 1092
"Tps_000150" "Tps_LRv5b_scf1" 300
"Tps_000151" "Tps_LRv5b_scf1" 1803
"Tps_000152" "Tps_LRv5b_scf1" 351
"Tps_000153" "Tps_LRv5b_scf1" 1527
"Tps_000154" "Tps_LRv5b_scf1" 1227
"Tps_000155" "Tps_LRv5b_scf1" 2574
"Tps_000156" "Tps_LRv5b_scf1" 288
"Tps_000157" "Tps_LRv5b_scf1" 321
"Tps_000158" "Tps_LRv5b_scf1" 228
"Tps_000159" "Tps_LRv5b_scf1" 591
"Tps_000160" "Tps_LRv5b_scf1" 1593
"Tps_000161" "Tps_LRv5b_scf1" 4971
"Tps_000162" "Tps_LRv5b_scf1" 327
"Tps_000163" "Tps_LRv5b_scf1" 708
"Tps_000164" "Tps_LRv5b_scf1" 438
"Tps_000165" "Tps_LRv5b_scf1" 279
"Tps_000166" "Tps_LRv5b_scf1" 231
"Tps_000167" "Tps_LRv5b_scf1" 1236
"Tps_000168" "Tps_LRv5b_scf1" 753
"Tps_000169" "Tps_LRv5b_scf1" 3705
"Tps_000170" "Tps_LRv5b_scf1" 399
"Tps_000171" "Tps_LRv5b_scf1" 7398
"Tps_000172" "Tps_LRv5b_scf1" 321
"Tps_000173" "Tps_LRv5b_scf1" 2097
"Tps_000174" "Tps_LRv5b_scf1" 291
"Tps_000175" "Tps_LRv5b_scf1" 1761
"Tps_000176" "Tps_LRv5b_scf1" 1098
"Tps_000177" "Tps_LRv5b_scf1" 564
"Tps_000178" "Tps_LRv5b_scf1" 4656
"Tps_000179" "Tps_LRv5b_scf1" 900
"Tps_000180" "Tps_LRv5b_scf1" 627
"Tps_000181" "Tps_LRv5b_scf1" 255
"Tps_000182" "Tps_LRv5b_scf1" 1467
"Tps_000183" "Tps_LRv5b_scf1" 825
"Tps_000184" "Tps_LRv5b_scf1" 1182
"Tps_000185" "Tps_LRv5b_scf1" 747
"Tps_000186" "Tps_LRv5b_scf1" 663
"Tps_000187" "Tps_LRv5b_scf1" 384
"Tps_000188" "Tps_LRv5b_scf1" 888
"Tps_000189" "Tps_LRv5b_scf1" 828
"Tps_000190" "Tps_LRv5b_scf1" 258
"Tps_000191" "Tps_LRv5b_scf1" 237
"Tps_000192" "Tps_LRv5b_scf1" 276
"Tps_000193" "Tps_LRv5b_scf1" 762
"Tps_000194" "Tps_LRv5b_scf1" 768
"Tps_000195" "Tps_LRv5b_scf1" 1596
"Tps_000196" "Tps_LRv5b_scf1" 6390
"Tps_000197" "Tps_LRv5b_scf1" 1500
"Tps_000198" "Tps_LRv5b_scf1" 860
"Tps_000199" "Tps_LRv5b_scf1" 459
"Tps_000200" "Tps_LRv5b_scf1" 708
"Tps_000201" "Tps_LRv5b_scf1" 820
"Tps_000202" "Tps_LRv5b_scf1" 384
"Tps_000203" "Tps_LRv5b_scf1" 231
"Tps_000204" "Tps_LRv5b_scf1" 795
"Tps_000205" "Tps_LRv5b_scf1" 471
"Tps_000206" "Tps_LRv5b_scf1" 1428
"Tps_000207" "Tps_LRv5b_scf1" 744
"Tps_000208" "Tps_LRv5b_scf1" 4470
"Tps_000209" "Tps_LRv5b_scf1" 618
"Tps_000210" "Tps_LRv5b_scf1" 882
"Tps_000211" "Tps_LRv5b_scf1" 252
"Tps_000212" "Tps_LRv5b_scf1" 399
"Tps_000213" "Tps_LRv5b_scf1" 273
"Tps_000214" "Tps_LRv5b_scf1" 1212
"Tps_000215" "Tps_LRv5b_scf1" 222
"Tps_000216" "Tps_LRv5b_scf1" 252
"Tps_000217" "Tps_LRv5b_scf1" 708
"Tps_000218" "Tps_LRv5b_scf1" 411
"Tps_000219" "Tps_LRv5b_scf1" 762
"Tps_000220" "Tps_LRv5b_scf1" 600
"Tps_000221" "Tps_LRv5b_scf1" 696
"Tps_000222" "Tps_LRv5b_scf1" 612
"Tps_000223" "Tps_LRv5b_scf1" 276
"Tps_000224" "Tps_LRv5b_scf1" 213
"Tps_000225" "Tps_LRv5b_scf1" 450
"Tps_000226" "Tps_LRv5b_scf1" 705
"Tps_000227" "Tps_LRv5b_scf1" 1809
"Tps_000228" "Tps_LRv5b_scf1" 207
"Tps_000229" "Tps_LRv5b_scf1" 3507
"Tps_000230" "Tps_LRv5b_scf1" 267
"Tps_000231" "Tps_LRv5b_scf1" 1251
"Tps_000232" "Tps_LRv5b_scf1" 4302
"Tps_000233" "Tps_LRv5b_scf1" 417
"Tps_000234" "Tps_LRv5b_scf1" 678
"Tps_000235" "Tps_LRv5b_scf1" 1476
"Tps_000236" "Tps_LRv5b_scf1" 2568
"Tps_000237" "Tps_LRv5b_scf1" 2775
"Tps_000238" "Tps_LRv5b_scf1" 213
"Tps_000239" "Tps_LRv5b_scf1" 315
"Tps_000240" "Tps_LRv5b_scf1" 2535
"Tps_000241" "Tps_LRv5b_scf1" 1875
"Tps_000242" "Tps_LRv5b_scf1" 822
"Tps_000243" "Tps_LRv5b_scf1" 1029
"Tps_000244" "Tps_LRv5b_scf1" 660
"Tps_000245" "Tps_LRv5b_scf1" 294
"Tps_000246" "Tps_LRv5b_scf1" 282
"Tps_000247" "Tps_LRv5b_scf1" 207
"Tps_000248" "Tps_LRv5b_scf1" 330
"Tps_000249" "Tps_LRv5b_scf1" 207
"Tps_000250" "Tps_LRv5b_scf1" 228
"Tps_000251" "Tps_LRv5b_scf1" 261
"Tps_000252" "Tps_LRv5b_scf1" 520
"Tps_000253" "Tps_LRv5b_scf1" 303
"Tps_000254" "Tps_LRv5b_scf1" 207
"Tps_000255" "Tps_LRv5b_scf1" 219
"Tps_000256" "Tps_LRv5b_scf1" 306
"Tps_000257" "Tps_LRv5b_scf1" 234
"Tps_000258" "Tps_LRv5b_scf1" 207
"Tps_000259" "Tps_LRv5b_scf1" 276
"Tps_000260" "Tps_LRv5b_scf1" 306
"Tps_000261" "Tps_LRv5b_scf1" 234
"Tps_000262" "Tps_LRv5b_scf1" 504
"Tps_000263" "Tps_LRv5b_scf1" 204
"Tps_000264" "Tps_LRv5b_scf1" 264
"Tps_000265" "Tps_LRv5b_scf1" 384
"Tps_000266" "Tps_LRv5b_scf1" 204
"Tps_000267" "Tps_LRv5b_scf1" 684
"Tps_000268" "Tps_LRv5b_scf1" 444
"Tps_000269" "Tps_LRv5b_scf1" 2004
"Tps_000270" "Tps_LRv5b_scf1" 1266
"Tps_000271" "Tps_LRv5b_scf1" 273
"Tps_000272" "Tps_LRv5b_scf1" 531
"Tps_000273" "Tps_LRv5b_scf1" 3432
"Tps_000274" "Tps_LRv5b_scf1" 2100
"Tps_000275" "Tps_LRv5b_scf1" 948
"Tps_000276" "Tps_LRv5b_scf1" 1971
"Tps_000277" "Tps_LRv5b_scf1" 3492
"Tps_000278" "Tps_LRv5b_scf1" 387
"Tps_000279" "Tps_LRv5b_scf1" 1584
"Tps_000280" "Tps_LRv5b_scf1" 2601
"Tps_000281" "Tps_LRv5b_scf1" 204
"Tps_000282" "Tps_LRv5b_scf1" 855
"Tps_000283" "Tps_LRv5b_scf1" 3318
"Tps_000284" "Tps_LRv5b_scf1" 432
"Tps_000285" "Tps_LRv5b_scf1" 726
"Tps_000286" "Tps_LRv5b_scf1" 1728
"Tps_000287" "Tps_LRv5b_scf1" 2193
"Tps_000288" "Tps_LRv5b_scf1" 576
"Tps_000289" "Tps_LRv5b_scf1" 1485
"Tps_000290" "Tps_LRv5b_scf1" 303
"Tps_000291" "Tps_LRv5b_scf1" 909
"Tps_000292" "Tps_LRv5b_scf1" 1044
"Tps_000293" "Tps_LRv5b_scf1" 1320
"Tps_000294" "Tps_LRv5b_scf1" 1311
"Tps_000295" "Tps_LRv5b_scf1" 768
"Tps_000296" "Tps_LRv5b_scf1" 426
"Tps_000297" "Tps_LRv5b_scf1" 291
"Tps_000298" "Tps_LRv5b_scf1" 2157
"Tps_000299" "Tps_LRv5b_scf1" 522
"Tps_000300" "Tps_LRv5b_scf1" 1689
"Tps_000301" "Tps_LRv5b_scf1" 3489
"Tps_000302" "Tps_LRv5b_scf1" 894
"Tps_000303" "Tps_LRv5b_scf1" 2073
"Tps_000304" "Tps_LRv5b_scf1" 378
"Tps_000305" "Tps_LRv5b_scf1" 3243
"Tps_000306" "Tps_LRv5b_scf1" 1380
"Tps_000307" "Tps_LRv5b_scf1" 270
"Tps_000308" "Tps_LRv5b_scf1" 450
"Tps_000309" "Tps_LRv5b_scf1" 366
"Tps_000310" "Tps_LRv5b_scf1" 1101
"Tps_000311" "Tps_LRv5b_scf1" 228
"Tps_000312" "Tps_LRv5b_scf1" 777
"Tps_000313" "Tps_LRv5b_scf1" 873
"Tps_000314" "Tps_LRv5b_scf1" 339
"Tps_000315" "Tps_LRv5b_scf1" 675
"Tps_000316" "Tps_LRv5b_scf1" 597
"Tps_000317" "Tps_LRv5b_scf1" 1230
"Tps_000318" "Tps_LRv5b_scf1" 303
"Tps_000319" "Tps_LRv5b_scf1" 300
"Tps_000320" "Tps_LRv5b_scf1" 498
"Tps_000321" "Tps_LRv5b_scf1" 312
"Tps_000322" "Tps_LRv5b_scf1" 2082
"Tps_000323" "Tps_LRv5b_scf1" 1401
"Tps_000324" "Tps_LRv5b_scf1" 924
"Tps_000325" "Tps_LRv5b_scf1" 525
"Tps_000326" "Tps_LRv5b_scf1" 1743
"Tps_000327" "Tps_LRv5b_scf1" 294
"Tps_000328" "Tps_LRv5b_scf1" 1287
"Tps_000329" "Tps_LRv5b_scf1" 1299
"Tps_000330" "Tps_LRv5b_scf1" 765
"Tps_000331" "Tps_LRv5b_scf1" 768
"Tps_000332" "Tps_LRv5b_scf1" 3261
"Tps_000333" "Tps_LRv5b_scf1" 2547
"Tps_000334" "Tps_LRv5b_scf1" 456
"Tps_000335" "Tps_LRv5b_scf1" 582
"Tps_000336" "Tps_LRv5b_scf1" 1041
"Tps_000337" "Tps_LRv5b_scf1" 603
"Tps_000338" "Tps_LRv5b_scf1" 828
"Tps_000339" "Tps_LRv5b_scf1" 543
"Tps_000340" "Tps_LRv5b_scf1" 426
"Tps_000341" "Tps_LRv5b_scf1" 531
"Tps_000342" "Tps_LRv5b_scf1" 7305
"Tps_000343" "Tps_LRv5b_scf1" 510
"Tps_000344" "Tps_LRv5b_scf1" 486
"Tps_000345" "Tps_LRv5b_scf1" 831
"Tps_000346" "Tps_LRv5b_scf1" 501
"Tps_000347" "Tps_LRv5b_scf1" 933
"Tps_000348" "Tps_LRv5b_scf1" 627
"Tps_000349" "Tps_LRv5b_scf1" 774
"Tps_000350" "Tps_LRv5b_scf1" 501
"Tps_000351" "Tps_LRv5b_scf1" 1050
"Tps_000352" "Tps_LRv5b_scf1" 345
"Tps_000353" "Tps_LRv5b_scf1" 501
"Tps_000354" "Tps_LRv5b_scf1" 1512
"Tps_000355" "Tps_LRv5b_scf1" 639
"Tps_000356" "Tps_LRv5b_scf1" 2187
"Tps_000357" "Tps_LRv5b_scf1" 336
"Tps_000358" "Tps_LRv5b_scf1" 213
"Tps_000359" "Tps_LRv5b_scf1" 702
"Tps_000360" "Tps_LRv5b_scf1" 261
"Tps_000361" "Tps_LRv5b_scf1" 948
"Tps_000362" "Tps_LRv5b_scf1" 288
"Tps_000363" "Tps_LRv5b_scf1" 207
"Tps_000364" "Tps_LRv5b_scf1" 561
"Tps_000365" "Tps_LRv5b_scf1" 2676
"Tps_000366" "Tps_LRv5b_scf1" 498
"Tps_000367" "Tps_LRv5b_scf1" 393
"Tps_000368" "Tps_LRv5b_scf1" 750
"Tps_000369" "Tps_LRv5b_scf1" 1017
"Tps_000370" "Tps_LRv5b_scf1" 772
"Tps_000371" "Tps_LRv5b_scf1" 4407
"Tps_000372" "Tps_LRv5b_scf1" 1248
"Tps_000373" "Tps_LRv5b_scf1" 463
"Tps_000374" "Tps_LRv5b_scf1" 1512
"Tps_000375" "Tps_LRv5b_scf1" 399
"Tps_000376" "Tps_LRv5b_scf1" 2805
"Tps_000377" "Tps_LRv5b_scf1" 282
"Tps_000378" "Tps_LRv5b_scf1" 3384
"Tps_000379" "Tps_LRv5b_scf1" 354
"Tps_000380" "Tps_LRv5b_scf1" 1926
"Tps_000381" "Tps_LRv5b_scf1" 531
"Tps_000382" "Tps_LRv5b_scf1" 438
"Tps_000383" "Tps_LRv5b_scf1" 753
"Tps_000384" "Tps_LRv5b_scf1" 312
"Tps_000385" "Tps_LRv5b_scf1" 369
"Tps_000386" "Tps_LRv5b_scf1" 2322
"Tps_000387" "Tps_LRv5b_scf1" 6843
"Tps_000388" "Tps_LRv5b_scf1" 2565
"Tps_000389" "Tps_LRv5b_scf1" 3111
"Tps_000390" "Tps_LRv5b_scf1" 1038
"Tps_000391" "Tps_LRv5b_scf1" 1317
"Tps_000392" "Tps_LRv5b_scf1" 606
"Tps_000393" "Tps_LRv5b_scf1" 654
"Tps_000394" "Tps_LRv5b_scf1" 1260
"Tps_000396" "Tps_LRv5b_scf1" 240
"Tps_000397" "Tps_LRv5b_scf1" 2169
"Tps_000398" "Tps_LRv5b_scf1" 413
"Tps_000399" "Tps_LRv5b_scf1" 921
"Tps_000400" "Tps_LRv5b_scf1" 765
"Tps_000401" "Tps_LRv5b_scf1" 339
"Tps_000402" "Tps_LRv5b_scf1" 1173
"Tps_000403" "Tps_LRv5b_scf1" 888
"Tps_000404" "Tps_LRv5b_scf1" 2130
"Tps_000405" "Tps_LRv5b_scf1" 399
"Tps_000406" "Tps_LRv5b_scf1" 1926
"Tps_000407" "Tps_LRv5b_scf1" 1694
"Tps_000408" "Tps_LRv5b_scf1" 1401
"Tps_000409" "Tps_LRv5b_scf1" 4032
"Tps_000410" "Tps_LRv5b_scf1" 1383
"Tps_000411" "Tps_LRv5b_scf1" 825
"Tps_000412" "Tps_LRv5b_scf1" 2352
"Tps_000413" "Tps_LRv5b_scf1" 693
"Tps_000414" "Tps_LRv5b_scf1" 384
"Tps_000415" "Tps_LRv5b_scf1" 213
"Tps_000416" "Tps_LRv5b_scf1" 231
"Tps_000417" "Tps_LRv5b_scf1" 966
"Tps_000418" "Tps_LRv5b_scf1" 861
"Tps_000419" "Tps_LRv5b_scf1" 939
"Tps_000420" "Tps_LRv5b_scf1" 774
"Tps_000421" "Tps_LRv5b_scf1" 255
"Tps_000422" "Tps_LRv5b_scf1" 666
"Tps_000423" "Tps_LRv5b_scf1" 1098
"Tps_000424" "Tps_LRv5b_scf1" 213
"Tps_000425" "Tps_LRv5b_scf1" 549
"Tps_000426" "Tps_LRv5b_scf1" 306
"Tps_000427" "Tps_LRv5b_scf1" 522
"Tps_000428" "Tps_LRv5b_scf1" 306
"Tps_000429" "Tps_LRv5b_scf1" 522
"Tps_000430" "Tps_LRv5b_scf1" 258
"Tps_000431" "Tps_LRv5b_scf1" 345
"Tps_000432" "Tps_LRv5b_scf1" 399
"Tps_000433" "Tps_LRv5b_scf1" 2208
"Tps_000434" "Tps_LRv5b_scf1" 612
"Tps_000435" "Tps_LRv5b_scf1" 294
"Tps_000436" "Tps_LRv5b_scf1" 258
"Tps_000437" "Tps_LRv5b_scf1" 1143
"Tps_000438" "Tps_LRv5b_scf1" 1545
"Tps_000439" "Tps_LRv5b_scf1" 240
"Tps_000440" "Tps_LRv5b_scf1" 1302
"Tps_000441" "Tps_LRv5b_scf1" 234
"Tps_000442" "Tps_LRv5b_scf1" 237
"Tps_000443" "Tps_LRv5b_scf1" 1038
"Tps_000445" "Tps_LRv5b_scf1" 453
"Tps_000446" "Tps_LRv5b_scf1" 1827
"Tps_000447" "Tps_LRv5b_scf1" 1281
"Tps_000448" "Tps_LRv5b_scf1" 546
"Tps_000449" "Tps_LRv5b_scf1" 894
"Tps_000450" "Tps_LRv5b_scf1" 477
"Tps_000451" "Tps_LRv5b_scf1" 939
"Tps_000452" "Tps_LRv5b_scf1" 4197
"Tps_000453" "Tps_LRv5b_scf1" 234
"Tps_000454" "Tps_LRv5b_scf1" 423
"Tps_000455" "Tps_LRv5b_scf1" 345
"Tps_000456" "Tps_LRv5b_scf1" 375
"Tps_000457" "Tps_LRv5b_scf1" 531
"Tps_000458" "Tps_LRv5b_scf1" 600
"Tps_000459" "Tps_LRv5b_scf1" 363
"Tps_000460" "Tps_LRv5b_scf1" 273
"Tps_000461" "Tps_LRv5b_scf1" 2889
"Tps_000462" "Tps_LRv5b_scf1" 657
"Tps_000463" "Tps_LRv5b_scf1" 324
"Tps_000464" "Tps_LRv5b_scf1" 435
"Tps_000465" "Tps_LRv5b_scf1" 537
"Tps_000466" "Tps_LRv5b_scf1" 2634
"Tps_000467" "Tps_LRv5b_scf1" 4674
"Tps_000468" "Tps_LRv5b_scf1" 204
"Tps_000469" "Tps_LRv5b_scf1" 453
"Tps_000470" "Tps_LRv5b_scf1" 384
"Tps_000471" "Tps_LRv5b_scf1" 810
"Tps_000472" "Tps_LRv5b_scf1" 501
"Tps_000473" "Tps_LRv5b_scf1" 336
"Tps_000474" "Tps_LRv5b_scf1" 285
"Tps_000475" "Tps_LRv5b_scf1" 444
"Tps_000476" "Tps_LRv5b_scf1" 522
"Tps_000477" "Tps_LRv5b_scf1" 516
"Tps_000478" "Tps_LRv5b_scf1" 1314
"Tps_000479" "Tps_LRv5b_scf1" 1509
"Tps_000480" "Tps_LRv5b_scf1" 765
"Tps_000481" "Tps_LRv5b_scf1" 777
"Tps_000482" "Tps_LRv5b_scf1" 339
"Tps_000483" "Tps_LRv5b_scf1" 915
"Tps_000484" "Tps_LRv5b_scf1" 2808
"Tps_000485" "Tps_LRv5b_scf1" 312
"Tps_000486" "Tps_LRv5b_scf1" 630
"Tps_000487" "Tps_LRv5b_scf1" 1014
"Tps_000488" "Tps_LRv5b_scf1" 462
"Tps_000489" "Tps_LRv5b_scf1" 216
"Tps_000490" "Tps_LRv5b_scf1" 216
"Tps_000491" "Tps_LRv5b_scf1" 222
"Tps_000492" "Tps_LRv5b_scf1" 1131
"Tps_000493" "Tps_LRv5b_scf1" 672
"Tps_000494" "Tps_LRv5b_scf1" 222
"Tps_000495" "Tps_LRv5b_scf1" 267
"Tps_000496" "Tps_LRv5b_scf1" 450
"Tps_000497" "Tps_LRv5b_scf1" 2481
"Tps_000498" "Tps_LRv5b_scf1" 738
"Tps_000499" "Tps_LRv5b_scf1" 1371
"Tps_000500" "Tps_LRv5b_scf1" 291
"Tps_000501" "Tps_LRv5b_scf1" 720
"Tps_000502" "Tps_LRv5b_scf1" 336
"Tps_000503" "Tps_LRv5b_scf1" 753
"Tps_000504" "Tps_LRv5b_scf1" 474
"Tps_000505" "Tps_LRv5b_scf1" 2943
"Tps_000506" "Tps_LRv5b_scf1" 1071
"Tps_000507" "Tps_LRv5b_scf1" 1686
"Tps_000508" "Tps_LRv5b_scf1" 1536
"Tps_000509" "Tps_LRv5b_scf1" 1278
"Tps_000510" "Tps_LRv5b_scf1" 567
"Tps_000511" "Tps_LRv5b_scf1" 912
"Tps_000512" "Tps_LRv5b_scf1" 1665
"Tps_000513" "Tps_LRv5b_scf1" 912
"Tps_000514" "Tps_LRv5b_scf1" 519
"Tps_000515" "Tps_LRv5b_scf1" 1551
"Tps_000516" "Tps_LRv5b_scf1" 1416
"Tps_000517" "Tps_LRv5b_scf1" 534
"Tps_000518" "Tps_LRv5b_scf1" 3222
"Tps_000519" "Tps_LRv5b_scf1" 234
"Tps_000520" "Tps_LRv5b_scf1" 210
"Tps_000521" "Tps_LRv5b_scf1" 234
"Tps_000522" "Tps_LRv5b_scf1" 561
"Tps_000523" "Tps_LRv5b_scf1" 5748
"Tps_000524" "Tps_LRv5b_scf1" 2505
"Tps_000525" "Tps_LRv5b_scf1" 2145
"Tps_000526" "Tps_LRv5b_scf1" 600
"Tps_000527" "Tps_LRv5b_scf1" 411
"Tps_000528" "Tps_LRv5b_scf1" 477
"Tps_000529" "Tps_LRv5b_scf1" 240
"Tps_000530" "Tps_LRv5b_scf1" 1209
"Tps_000531" "Tps_LRv5b_scf1" 819
"Tps_000532" "Tps_LRv5b_scf1" 237
"Tps_000533" "Tps_LRv5b_scf1" 1497
